source_id,mode,page_count,candidates,selected,selected_labels,warning
2021-jour-1-g1-21-pycj1g1pdf-91416,legacy_common_abc,15,4,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A : LES SUPERCONDENSATEURS (5 POINTS) | EXERCICE B : DETERMINATION DE LA MASSE DE LA LUNE (5 POINTS) | EXERCICE C : LA CONGELATION DE L’EAU (5 POINTS),
2021-jour-1-ja-21-pycj1ja1pdf-91497,legacy_common_abc,17,4,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A : TRAITEMENT ANTI-ACARIEN (5 points) | EXERCICE B : SYNTHÈSE D’UN BIOCARBURANT (5 points) | EXERCICE C : L’EAU OXYGÉNÉE D’UNE SOLUTION HYDROALCOOLIQUE (5 points),
2021-jour-1-me-21-pycj1me3pdf-91257,legacy_common_abc,16,4,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A- PUISSANCE RAYONNÉE PAR LA LUNE | EXERCICE B- AU PLUS PRÈS DU SOLEIL ET DE SA COURONNE | EXERCICE C- CESTA PUNTA,
2021-jour-1-me-21-pycj1mepdf-91110,legacy_common_abc,10,4,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A - SYNTHÈSE DE CANNIZZARO | EXERCICE B - DEGRÉ D’HYDRATATION DU CHLORURE DE MAGNÉSIUM | EXERCICE C - LE POMELO,
2021-jour-2-g1-21-pycj2g1pdf-91419,legacy_common_abc,17,5,4,"EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A : EVOLUTION DU SUCRE DANS UNE BOISSON GAZEUSE (5 points) | EXERCICE B : SYNTHÈSE D’UN ARÔME ALIMENTAIRE (5 points) | EXERCICE C : « L’AMMONIAQUE », UN PRODUIT MÉNAGER COURANT (5 points)",
2021-jour-2-ja-21-pycj2ja1pdf-91500,legacy_common_abc,18,4,4,EXERCICE 1 commun à tous les candidats (10 points) | Exercice A : Cave à vin (5 points) | Exercice B : « Water bottle flip » (5 points) | Exercice C : une lunette d’amateur pour voir des étoiles doubles (5 points),
2021-jour-2-me-21-pycj2me3pdf-91260,legacy_common_abc,15,4,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A - L’ENCRE ET SON EFFACEUR | EXERCICE B - ÉTUDE D’UNE PILE AU LABORATOIRE | EXERCICE C - SYNTHÈSE DE L’ACIDE CAPRYLIQUE PAR SONOCHIMIE,
2021-jour-2-me-21-pycj2mepdf-91113,legacy_common_abc,14,4,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A - SAUT À L’ÉLASTIQUE | EXERCICE B - MESURES D’ÉPAISSEUR | EXERCICE C - ÉTUDE D’UN FILM DE SAVON,
2022-jour-1-as-22-pycj1as1pdf-97194,legacy_common_abc,19,8,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A. OBSERVATION DE LA LUNE DEPUIS LA TERRE | EXERCICE B. DÉFIBRILLATEUR CARDIAQUE IMPLANTABLE | EXERCICE C. ATTERRISSAGE DU PREMIER ÉTAGE D’UNE FUSÉE,
2022-jour-1-me-22-pycj1me3pdf-97053,legacy_common_abc,14,4,4,Exercice commun à tous les candidats (10 points) | EXERCICE A - OBSERVER LES ANNEAUX DE SATURNE (5 points) | EXERCICE B - VITESSE DE LA STATION SPATIALE INTERNATIONALE (5 points) | EXERCICE C – CONTRÔLE DE LA LARGEUR D’UN FIL DE SUTURE (5 points),
