enabled,id,titre,annee,session,zone,pdf_path,sha256,notes
1,2021-jour-1-g1-21-pycj1g1pdf-91416,21-pycj1g1pdf-91416,2021,Jour 1,Centres étrangers,pdf/21-pycj1g1pdf-91416.pdf,93bd35228824aafad305fecc92e925dd4bd3b2b73df61c13eafd2cb215896eb3,Code détecté (première page) : 21PYCJ1G11PAG ; zone=G1.
1,2021-jour-1-ja-21-pycj1ja1pdf-91497,21-pycj1ja1pdf-91497,2021,Jour 1,Asie,pdf/21-pycj1ja1pdf-91497.pdf,26391933b0d9eadffc7a05d264c447fe3b8a6fd3e43df2d2e665c26502275ea0,Code détecté (première page) : 21PYCJ1JA1PAG ; zone=JA.
1,2021-jour-1-me-21-pycj1me3pdf-91257,21-pycj1me3pdf-91257,2021,Jour 1,"Métropole, Mayotte, La Réunion, Antilles Guyane",pdf/21-pycj1me3pdf-91257.pdf,10e4b9d54657946b4c8e4956a7ace415d5f01ffcd30cea14fd03cb370d85aab9,Code détecté (première page) : 21PYCJ1ME3PAG ; zone=ME.
1,2021-jour-1-me-21-pycj1mepdf-91110,21-pycj1mepdf-91110,2021,Jour 1,"Métropole, Mayotte, La Réunion, Antilles Guyane",pdf/21-pycj1mepdf-91110.pdf,4553316413a18b1987c8f568bcc992070e5c4e4f073d9004b7ab9a3c1a17f57b,Code détecté (première page) : 21PYCJ1ME2PAG ; zone=ME.
1,2021-jour-2-g1-21-pycj2g1pdf-91419,21-pycj2g1pdf-91419,2021,Jour 2,Centres étrangers,pdf/21-pycj2g1pdf-91419.pdf,6946fdecb69e5e33458755f4e7049c25ec38cf6a27ddc29f26a4e1adf8be738c,Code détecté (première page) : 21PYCJ2G11PAG ; zone=G1.
1,2021-jour-2-ja-21-pycj2ja1pdf-91500,21-pycj2ja1pdf-91500,2021,Jour 2,Asie,pdf/21-pycj2ja1pdf-91500.pdf,eb124cff1947194901f1b77219501cdaafbb454c06921c3894c06ae3af178d0a,Code détecté (première page) : 21PYCJ2JA1PAG ; zone=JA.
1,2021-jour-2-me-21-pycj2me3pdf-91260,21-pycj2me3pdf-91260,2021,Jour 2,"Métropole, Mayotte, La Réunion, Antilles Guyane",pdf/21-pycj2me3pdf-91260.pdf,46aff640833ab10b1b82dbc74310f8b0b28466b98304e4efe21fb7acc95d8eb1,Code détecté (première page) : 21PYCJ2ME3PAG ; zone=ME.
1,2021-jour-2-me-21-pycj2mepdf-91113,21-pycj2mepdf-91113,2021,Jour 2,"Métropole, Mayotte, La Réunion, Antilles Guyane",pdf/21-pycj2mepdf-91113.pdf,1f16895402e76bb8d725d243ccd723a34c4356841c7305b441592b8803afb927,Code détecté (première page) : 21PYCJ2ME2PAG ; zone=ME.
1,2022-jour-1-as-22-pycj1as1pdf-97194,22-pycj1as1pdf-97194,2022,Jour 1,Amérique du Sud,pdf/22-pycj1as1pdf-97194.pdf,7fb6e0fcc2d59a055ae531aea9be015f6c40441f2bb86c13e8b33898eab7bb57,Code détecté (première page) : 22PYCJ1AS1PAG ; zone=AS.
1,2022-jour-1-me-22-pycj1me3pdf-97053,22-pycj1me3pdf-97053,2022,Jour 1,"Métropole, Mayotte, La Réunion, Antilles Guyane",pdf/22-pycj1me3pdf-97053.pdf,3cef26489d54fd1d493ba2c18db1b13bf5eda2556c60728360aeb73f8691660e,Code détecté (première page) : 22PYCJ1ME3PAG ; zone=ME.
1,2022-jour-1-nc-22-pycj1nc1pdf-96747,22-pycj1nc1pdf-96747,2022,Jour 1,Nouvelle-Calédonie,pdf/22-pycj1nc1pdf-96747.pdf,462075e03436c2acfb9cacf100e4e76d7812d81990c709f33ec78fc57830352d,Code détecté (première page) : 22PYCJ1NC11 ; zone=NC.
1,2022-jour-1-nc-22-pycj1nc1pdf-97374,22-pycj1nc1pdf-97374,2022,Jour 1,Nouvelle-Calédonie,pdf/22-pycj1nc1pdf-97374.pdf,462075e03436c2acfb9cacf100e4e76d7812d81990c709f33ec78fc57830352d,Code détecté (première page) : 22PYCJ1NC11 ; zone=NC.
1,2022-jour-2-as-22-pycj2as1pdf-97197,22-pycj2as1pdf-97197,2022,Jour 2,Amérique du Sud,pdf/22-pycj2as1pdf-97197.pdf,7809bd7dd64b7aeba53080c44bbcc45c32418198d10f5d7a2d753c5120113865,Code détecté (première page) : 22PYCJ2AS1PAG ; zone=AS.
1,2022-jour-2-me-22-pycj2me3pdf-97089,22-pycj2me3pdf-97089,2022,Jour 2,"Métropole, Mayotte, La Réunion, Antilles Guyane",pdf/22-pycj2me3pdf-97089.pdf,4a6adbfb661273deff5f3a005ac0458a4f7ee66e9a73e56ecd56d8c4074cb0d6,Code détecté (première page) : 22PYCJ2ME3PAG ; zone=ME.
1,2022-jour-2-nc-22-pycj2nc1pdf-96822,22-pycj2nc1pdf-96822,2022,Jour 2,Nouvelle-Calédonie,pdf/22-pycj2nc1pdf-96822.pdf,faf286fe0977018d67a05fc3acc8f9fa4996b71d85cde07f41573c4aea5f78b4,Code détecté (première page) : 22PYCJ2NC11 ; zone=NC.
1,2022-jour-2-nc-22-pycj2nc1pdf-97407,22-pycj2nc1pdf-97407,2022,Jour 2,Nouvelle-Calédonie,pdf/22-pycj2nc1pdf-97407.pdf,faf286fe0977018d67a05fc3acc8f9fa4996b71d85cde07f41573c4aea5f78b4,Code détecté (première page) : 22PYCJ2NC11 ; zone=NC.
1,2022-jour-1-g1-22pycj1g11pdf-100110,22pycj1g11pdf-100110,2022,Jour 1,Centres étrangers,pdf/22pycj1g11pdf-100110.pdf,71958c751190090ef437024bc0d58a369263ab38cab16037271a897641ba3fce,Code détecté (première page) : 22PYCJ1G111 ; zone=G1.
1,2022-jour-2-g1-22pycj2g11pdf-100113,22pycj2g11pdf-100113,2022,Jour 2,Centres étrangers,pdf/22pycj2g11pdf-100113.pdf,eb8f150400b42ddad4f69ad8e188f2afd72f0dc5e2f413ccf16b989391f49240,Code détecté (première page) : 22PYCJ2G111 ; zone=G1.
1,2023-jour-1-lr-23-pycj1lr1pdf-105864,23-pycj1lr1pdf-105864,2023,Jour 1,La Réunion,pdf/23-pycj1lr1pdf-105864.pdf,23dca6f738986620cf912e85e5fe5f9b97b45b38dacf5486df9f27e4b5458b9b,Code détecté (première page) : 23PYCJ1LR11 ; zone=LR.
1,2023-jour-1-nc-23-pycj1nc1-sujetpdf-105252,23-pycj1nc1-sujetpdf-105252,2023,Jour 1,Nouvelle-Calédonie,pdf/23-pycj1nc1-sujetpdf-105252.pdf,1f83afd9d7d283ca05e3223653321e680154ce4d50be676e81e31a85a61e9b76,Code détecté (première page) : 23PYCJ1NC11 ; zone=NC.
1,2023-jour-2-an-23-pycj2an1pdf-105903,23-pycj2an1pdf-105903,2023,Jour 2,Amérique du Nord,pdf/23-pycj2an1pdf-105903.pdf,29caaee45951fd874560a62ab3c97c6ab09389ed9a38717dcd98fae810b6e6a1,Code détecté (première page) : 23PYCJ2AN11 ; zone=AN.
1,2023-jour-2-lr-23-pycj2lr1pdf-105867,23-pycj2lr1pdf-105867,2023,Jour 2,La Réunion,pdf/23-pycj2lr1pdf-105867.pdf,3c3ed27086ffea11f156cafbfcf2e29389b75395be95fda3ae43067db35ca64d,Code détecté (première page) : 23PYCJ2LR11 ; zone=LR.
1,2023-jour-2-nc-23-pycj2nc1-sujetpdf-105255,23-pycj2nc1-sujetpdf-105255,2023,Jour 2,Nouvelle-Calédonie,pdf/23-pycj2nc1-sujetpdf-105255.pdf,b11d36553fc20860f7b24b4427b6a446919d2555c01edc8690a8efc25c923da4,Code détecté (première page) : 23PYCJ2NC11 ; zone=NC.
0,2024-a-preciser-a-preciser-24-pycg11bisv1pdf-106395,24-pycg11bisv1pdf-106395,2024,À préciser,À préciser,pdf/24-pycg11bisv1pdf-106395.pdf,532ced81b018c30ff3c59dc63ff4643cd2399c0d5c5eec652abaa7aa911642c1,À relire : code officiel non détecté ; compléter annee/session/zone/titre si nécessaire. À relire manuellement. Désactivé automatiquement le 2026-05-09 12:54:10 car présent dans pages_a_identifier.
1,2024-jour-1-an-24-pycj1an1v1pdf-106644,24-pycj1an1v1pdf-106644,2024,Jour 1,Amérique du Nord,pdf/24-pycj1an1v1pdf-106644.pdf,11f9d510bfaa6a62f5ed18daa62e1622b8aa79f13cf14eea9d7470b33399c1cb,Code détecté (première page) : 24PYCJ1AN11 ; zone=AN.
1,2024-jour-1-g1-24-pycj1g11v1pdf-106425-1,24-pycj1g11v1pdf-106425 1,2024,Jour 1,Centres étrangers,pdf/24-pycj1g11v1pdf-106425 1.pdf,1b37cbb7a4e5fd279ac1982bd73f697e42eae6fa57b04c38bbbd5f16b9bf93e5,Code détecté (première page) : 24PYCJ1G111 ; zone=G1.
1,2024-jour-1-ja-24-pycj1ja1v1pdf-106725,24-pycj1ja1v1pdf-106725,2024,Jour 1,Asie,pdf/24-pycj1ja1v1pdf-106725.pdf,eabee9fabe143acb68f1e63aa0cf42278fecf60a7e1e36b5a74837424bdb1b55,Code détecté (première page) : 24PYCJ1JA1PAG ; zone=JA.
1,2024-jour-1-me-24-pycj1me1v1-0pdf-106227-1,24-pycj1me1v1-0pdf-106227 1,2024,Jour 1,"Métropole, Mayotte, La Réunion, Antilles Guyane",pdf/24-pycj1me1v1-0pdf-106227 1.pdf,8e9bbea34ddce0fca447a86e3756e12862a7175e0d0f3bd1e9b8a5e6e7993566,Code détecté (première page) : 24PYCJ1ME1PAG ; zone=ME.
1,2024-jour-1-me-24-pycj1me3pdf-110643,24-pycj1me3pdf-110643,2024,Jour 1,"Métropole, Mayotte, La Réunion, Antilles Guyane",pdf/24-pycj1me3pdf-110643.pdf,99c2da8b1bc2a7096dc4a4cfd0b3d7423d9f99f15bad034055b49a70c42fc6bb,Code détecté (première page) : 24PYCJ1ME3PAG ; zone=ME.
1,2024-jour-1-po-24-pycj1po1v1pdf-106518-1,24-pycj1po1v1pdf-106518 1,2024,Jour 1,Polynésie,pdf/24-pycj1po1v1pdf-106518 1.pdf,6ac8d6b5a6c765236d93a304e8f516924da24b25b04d42346b2f08b31885a76c,Code détecté (première page) : 24PYCJ1PO1PAG ; zone=PO.
1,2024-jour-2-an-24-pycj2an1v1pdf-106671,24-pycj2an1v1pdf-106671,2024,Jour 2,Amérique du Nord,pdf/24-pycj2an1v1pdf-106671.pdf,0cae7e3f9937c39f08dbbb4032cd12f9d82e16dc25d7108cffee1d039742f106,Code détecté (première page) : 24PYCJ2AN11 ; zone=AN.
